1	Mainly Alpha
2.30.130.40	LON domain-like
2.30.140.10	
2.30.140.20	Penicillin-binding protein associated domain; domain 2
2.30.150.10	
2.30.160.11	
2.30.170.10	
2.30.170.20	
2.30.170.30	ethanolamine ammonia-lyase heavy chain domain like
2.30.170.40	Ribosomal protein L34p
2.30.180.10	FAS1 domain
2.30.210.10	Leucyl-tRNA synthetase, domain 3
2.30.220.10	f41 fragment of flagellin, C-terminal domain
2.30.230.10	Lipovitellin; beta-sheet shell regions, chain A
2.30.240.10	At5g01610-like
2.30.250.10	Aminopeptidase i, Domain 2
2.30.260.10	putative xylanase like domain
2.30.270.10	duf1285 protein 
2.30.280.10	SRA domain-like
2.30.290.10	BH3618-like
2.30.300.10	Baseplate protein-like domain - beta roll fold
2.30.310.10	ibrinogen binding protein from staphylococcus aureus domain
2.30.320.10	Hypothetical protein YwqG
2.30.330.10	Surface presentation of antigens (SPOA) 
2.30.340.10	PAZ domain superfamily
2.40.10.10	Trypsin-like serine proteases
2.40.10.120	
2.40.10.170	
2.40.10.180	Phage tail proteins
2.40.10.190	translation elongation factor selb, chain A, domain 4
2.40.10.200	STY4665 C-terminal domain-like 
2.40.10.210	Phage tail proteins (gpFII-like)
2.40.10.220	predicted glycosyltransferase like domains
2.40.10.230	Probable tRNA pseudouridine synthase domain
2.40.10.240	QueA-like
2.40.10.250	Replicase NSP9
2.40.15.10	Oncogene products
2.40.20.10	Plasminogen Kringle 4
2.40.30.10	Translation factors
2.40.30.20	
2.40.30.30	Riboflavin kinase-like
2.40.30.40	Aminopeptidase/glucanase lid domain; domain 2
2.40.30.60	RimM N-terminal domain-like
2.40.30.70	YaeB-like domains
2.40.30.80	YkvR-like
2.40.30.90	Bacterial fluorinating enzyme like
2.40.30.100	AF2212/PG0164-like domains
2.40.30.110	Aminomethyltransferase beta-barrel domains
2.40.30.120	Positive stranded ssRNA viruses
2.40.33.10	PK beta-barrel domain-like
2.40.33.20	PK beta-barrel domain-like
2.40.33.40	PTSIIA/GutA-like
2.40.37.10	Lyase, Ornithine Decarboxylase; Chain A, domain 1
2.40.40.10	Barwin-like endoglucanases
2.40.40.20	
2.40.50.40	
2.40.50.50	
2.40.50.60	
2.40.50.70	
2.40.50.90	
2.40.50.100	
2.40.50.110	
2.40.50.120	
2.40.50.140	Nucleic acid-binding proteins
2.40.50.150	
2.40.50.170	Cysteine proteinases. Chain C
2.40.50.180	CheA-289, Domain 4
2.40.50.200	Hypothetical protein YgiW
2.40.50.220	EutN/CcmL-like
2.40.50.230	gp5 N-terminal domain-like domain
2.40.50.240	NifT/FixU-like
2.40.50.250	bipa protein
2.40.50.260	Nucleic acid-binding protein domain
2.40.50.270	transglycosylase MltA 
2.40.70.10	Acid Proteases
2.40.100.10	Cyclophilin-like
2.40.110.10	Butyryl-CoA Dehydrogenase, subunit A, domain 2
2.40.128.10	
2.40.128.20	
2.40.128.30	Avidin/streptavidin
2.40.128.50	
2.40.128.80	Dipeptidyl peptidase I (cathepsin C), exclusion domain
2.40.128.90	OMPT-like
2.40.128.100	OPCA outer membrane adhesin/invasin
2.40.128.110	YceI-like
2.40.128.120	Quinohemoprotein amine dehydrogenase A chain, domain 3
2.40.128.130	autotransporter esta
2.40.128.140	Putative outer membrane protein (lpxr)
2.40.128.150	Cysteine proteinases
2.40.128.160	C1 set domains (antibody constant domain-like)
2.40.150.20	Ribosomal Protein L14;
2.40.155.10	Green Fluorescent Protein
2.40.160.10	Porin
2.40.160.20	
2.40.160.30	Photosystem II, cytochrome c-550 precursor
2.40.160.40	monomeric porin ompg 
2.40.160.50	membrane protein fhac: a member of the omp85/tpsb transporter family 
2.40.160.60	Outer membrane protein transport protein (OMPP1/FadL/TodX) 
2.40.160.70	outer membrane protein from Thermus thermophilus HB27.
2.40.170.10	
2.40.170.20	
2.40.180.10	Catalase HpII,  Chain A, domain 1
2.40.200.10	Telomere-binding Protein Beta Subunit; Chain
2.40.220.10	Intramolecular Trans-sialidase; Domain 3
2.40.230.10	Outer membrane phospholipase A (OMPLA)
2.40.230.20	Tsx-like channel
2.40.240.10	Ribosomal Protein L25; Chain P
2.40.240.20	Hypothetical PUA domain-like; domain 1
2.40.240.50	Barwin-like endoglucanases
2.40.250.10	Core binding factor beta, CBF
2.40.260.10	Sortase
2.40.270.10	
2.40.280.10	
2.40.290.10	
2.40.300.10	Head decoration protein D (gpD, major capsid protein D)
2.40.310.10	beta-Barrel protease inhibitors
2.40.320.10	Hypothetical Protein Pfu-838710-001
2.40.330.10	DNA-binding pseudobarrel domain
2.40.340.10	MoeA C-terminal domain-like
2.40.350.10	SO1590-like
2.40.360.10	YmcC-like
2.40.370.10	AttH-like domain
2.40.380.10	FomD barrel-like domain
2.40.390.10	CV3147-like
2.40.400.10	Acetoacetate decarboxylase-like
2.40.410.10	putative membrane protein from Corynebacterium diphtheriae superfamily
2.40.420.10	conserved putative lor/sdh protein from methanococcus maripaludis s2 domain
2.40.430.10	D-maltodextrin-binding protein, MBP
2.40.440.10	L,D-transpeptidase catalytic domain-like
2.40.450.10	PUA domain-like domain
2.40.460.10	Biotin dependent carboxylase carboxyltransferase
2.40.470.10	catalase hpii domain
2.40.480.10	Allene oxide cyclase-like 
2.40.490.10	Newcastle disease virus like domain
2.40.500.10	Upper collar protein gp10 (connector protein)
2.40.510.10	Positive stranded ssRNA viruses
2.50.10.10	Bacteriochlorophyll-a Protein
2.50.20.10	outer membrane lipoprotein receptor (LolB), chain A
2.60.9.10	Neurophysin II, chain A
2.60.11.10	Cytochrome C Oxidase, chain F
2.60.15.10	ATP Synthase; domain 1
2.60.20.10	Crystallins
2.60.20.20	
2.60.20.30	
2.60.30.10	Electron Transport Ethylamine Dehydrogenase
2.60.34.10	Substrate Binding Domain Of DNAk; Chain A, domain 1
2.60.40.10	Immunoglobulins
2.60.40.20	alpha-Amylase inhibitor tendamistat
2.60.40.50	TRAP-like
2.60.40.60	Cadherins
2.60.40.150	C2- domain Calcium/lipid binding domain
2.60.40.180	
2.60.40.200	
2.60.40.230	
2.60.40.290	
2.60.40.340	
2.60.40.350	
2.60.40.380	Purple acid phosphatase, N-terminal domain
2.60.40.420	Cupredoxins -  blue copper proteins
2.60.40.550	
2.60.40.630	
2.60.40.640	
2.60.40.650	
2.60.40.680	
2.60.40.690	Alpha-macroglobulin receptor domain
2.60.40.700	Diphtheria toxin, C-terminal domain
2.60.40.710	
2.60.40.720	
2.60.40.730	
2.60.40.740	
2.60.40.760	
2.60.40.770	
2.60.40.780	
2.60.40.790	
2.60.40.810	
2.60.40.820	
2.60.40.830	
2.60.40.840	
2.60.40.1080	
2.60.40.1090	
2.60.40.1110	
2.60.40.1120	
2.60.40.1130	Rab geranylgeranyltransferase alpha-subunit, insert domain
2.60.40.1140	
2.60.40.1150	
2.60.40.1170	
2.60.40.1180	Golgi alpha-mannosidase II
2.60.40.1190	
2.60.40.1200	
2.60.40.1210	
2.60.40.1220	
2.60.40.1230	
2.60.40.1240	
2.60.40.1250	
2.60.40.1260	Lamin A/C globular tail domain
2.60.40.1270	
2.60.40.1280	
2.60.40.1290	
2.60.40.1300	
2.60.40.1310	
2.60.40.1320	Major surface antigen p30, SAG1
2.60.40.1330	
2.60.40.1340	
2.60.40.1360	
2.60.40.1370	Bacterial adhesin receptor binding domain
2.60.40.1380	E set domains; domain 4
2.60.40.1390	p53-like transcription factors
2.60.40.1400	G protein-activated inward rectifier potassium channel 1
2.60.40.1410	Bacterial adhesins - F17c-type
2.60.40.1430	Perfringolysin, domain 4
2.60.40.1450	Lin-12 and glp-1 transcriptional regulator; domain 1
2.60.40.1460	Integrin domains. Chain A, domain 2
2.60.40.1470	ApaG-like
2.60.40.1480	Clathrin adaptor appendage domain; domain 1
2.60.40.1490	ASF1-like
2.60.40.1500	Glycosyl hydrolase domain; family 39
2.60.40.1510	ntegrin, alpha v. Chain A, domain 3
2.60.40.1520	E set domains
2.60.40.1530	ntegrin, alpha v. Chain A, domain 4
2.60.40.1550	Sars orf7a accessory protein.
2.60.40.1570	Afimbrial adhesin afa-iii.
2.60.40.1580	Particulate methane monooxygenase, b subunit. Chain: A, domain 3
2.60.40.1590	Peptidoglycan hydrolase domains
2.60.40.1600	Smr-associated domain-like
2.60.40.1610	VPA0735-like domain
2.60.40.1620	lipoprotein yaji like domain
2.60.40.1630	bacillus anthracis domain
2.60.40.1640	Conserved domain protein.
2.60.40.1650	Porin MspA (Ig-like beta-sandwich domain)
2.60.40.1660	Na, k-atpase alpha subunit. 
2.60.40.1670	beta-sandwich domain of Sec23/24
2.60.40.1680	4-oxalocrotonate tautomerase-like
2.60.40.1690	Head and neck region of the ectodomain of NDV fusion glycoprotein
2.60.40.1700	Pentein
2.60.40.1710	Subtilisin-like superfamily
2.60.40.1720	Calcium-dependent cell adhesion molecule-1
2.60.40.1730	tricorn interacting facor f3 domain
2.60.40.1740	hypothetical protein (bacova_03559)
2.60.40.1760	glycosyl hydrolase (family 31)
2.60.40.1770	ephrin a2 ectodomain
2.60.60.20	Lipase/lipooxygenase domain (PLAT/LH2 domain)
2.60.60.30	sav2460 like domains
2.60.90.10	Adenovirus Type 5 Fiber Protein (Receptor Binding Domain)
2.60.90.20	Virus attachment protein , globular domain
2.60.98.10	Tick-borne Encephalitis virus Glycoprotein, domain 1
2.60.98.20	Flagellar hook protein
2.60.110.10	Thaumatin
2.60.120.10	Jelly Rolls
2.60.120.20	
2.60.120.40	
2.60.120.170	
2.60.120.180	
2.60.120.200	
2.60.120.220	
2.60.120.230	
2.60.120.240	
2.60.120.260	Galactose-binding domain-like
2.60.120.280	Regulatory protein AraC
2.60.120.290	
2.60.120.310	
2.60.120.320	
2.60.120.330	B-lactam Antibiotic, Isopenicillin N Synthase; Chain
2.60.120.340	
2.60.120.370	
2.60.120.380	
2.60.120.390	Olfactory marker protein
2.60.120.400	Calcium-mediated lectin
2.60.120.420	Membrane penetration protein mu1, Chain B, domain 4
2.60.120.430	Galactose-binding lectin
2.60.120.460	Hypothetical protein
2.60.120.470	Hypothetical protein at3g04780.1.
2.60.120.480	Ureidoglycolate hydrolase
2.60.120.510	Superantigen (mitogen) Ypm
2.60.120.520	pectin degrading enzyme 5-keto 4- deoxyuronate isomerase, domain 1
2.60.120.530	Positive standed ss RNA viruses, Chain A
2.60.120.550	Penton protein; domain 1
2.60.120.560	Exo-inulinase; domain 1
2.60.120.570	Particulate methane monooxygenase, b subunit. Chain: A, domain 1
2.60.120.580	Acetamidase/Formamidase-like domains
2.60.120.590	Clavaminate synthase-like domains
2.60.120.600	VPA0735-like domain
2.60.120.610	arabinofuranosyltransferase like domain
2.60.120.620	q2cbj1_9rhob like domain
2.60.120.630	mth639 domain like
2.60.120.640	gp9 
2.60.120.650	Cupin
2.60.120.660	icosahedral virus
2.60.120.670	Minor capsid protein.
2.60.120.680	CRAL/TRIO domain 
2.60.120.690	Proprotein convertase subtilisin/kexin type 9
2.60.130.10	Aromatic compound dioxygenase
2.60.169.10	Bacteriophage G4 Capsid Proteins Gpf, Gpg, Gpj, subunit 1
2.60.175.10	Polyomavirus Vp1, chain A
2.60.175.20	Group I dsDNA viruses
2.60.200.10	
2.60.200.20	
2.60.200.30	Probable inorganic polyphosphate/atp-NAD kinase; domain 2
2.60.210.10	Apoptosis, Tumor Necrosis Factor Receptor Associated Protein 2; Chain A
2.60.220.10	Hyaluronate lyase-like, C-terminal domain
2.60.220.20	putative beta-Galactosidase from caulobacter crescentus 
2.60.240.10	Viral Chemokine Inhibitor; Chain A
2.60.250.10	Baculovirus p35 protein
2.60.260.20	Urease metallochaperone UreE, N-terminal domain
2.60.260.40	q5lls5 like domains
2.60.270.20	
2.60.290.11	Hypothetical protein TM1070
2.60.300.12	HesB-like domain
2.60.310.10	C-terminal domain of mollusc hemocyanin
2.60.320.10	N-utilization substance G protein NusG, insert domain
2.60.330.10	receptor-binding protein prd1-p2, domain 2
2.60.340.10	baseplate structural protein gp8, domain 1
2.60.350.10	Dex49a from penicillium minioluteum complex, domain 1
2.60.370.10	Ctag/Cox11
2.60.390.10	beta-galactosidase, domain 3
2.60.410.10	Peptidoglycan synthesis regulatory factor (PBP3), Domain 2
2.60.420.10	Maltose phosphorylase, domain 3
2.60.430.10	YopX-like domain
2.60.440.10	YacF-like domains
2.60.450.10	Lipopolysaccharide (LPS) transport protein A like domain
2.60.460.10	protein yfey like domain
2.60.470.10	Acid-sensing ion channels like domains
2.60.480.10	eubacterium ventriosum atcc domain
2.60.490.10	atp-gated p2x4 ion channel domain
2.60.500.10	Surface Active Protein domain
2.60.510.10	EV matrix protein 
2.60.520.10	Phage fibre proteins
2.70.9.10	Adenovirus Type 2 Hexon, domain 4
2.70.9.20	Major capsid protein Vp54
2.70.9.30	Viral coat protein p3
2.70.10.10	Thrombin Inhibitor (Hirudin), subunit I
2.70.20.10	Topoisomerase I, domain 3
2.70.40.10	
2.70.40.20	Tlp20, baculovirus telokin-like protein
2.70.50.30	Coagulation Factor XIII, subunit A, domain 1
2.70.50.40	E set domains, Chain B ("Early" Ig-like fold families possibly related to the immunoglobulin and/or fibronectin type III superfamilies)
2.70.50.50	chitin-binding protein cbp21
2.70.50.60	abc- transporter (atp binding component) like domain
2.70.70.10	Glucose Permease (Domain IIA)
2.70.98.10	
2.70.98.20	Copper amine oxidase, Domain 3
2.70.98.30	Golgi alpha-mannosidase II; domain 4
2.70.98.40	Galactose mutarotase-like. Domain 1
2.70.98.50	putative glycoside hydrolase family protein from bacillus halodurans
2.70.98.60	alpha-galactosidase from lactobacil brevis
2.70.100.10	1,4-Beta-D-Glucan Cellobiohydrolase I, subunit A
2.70.130.10	Cation-dependent Mannose-6-phosphate Receptor; Chain A
2.70.150.10	Calcium-transporting ATPase, cytoplasmic transduction domain A
2.70.160.11	Hnrnp arginine n-methyltransferase1
2.70.170.10	
2.70.180.10	Hypothetical protein YojF
2.70.210.12	Obg GTP-binding protein N-terminal domain
2.70.220.10	Ganglioside M2 (gm2) activator
2.70.230.10	
2.70.240.10	Leukocidin-like
2.70.250.10	receptor-binding protein prd1-p2, domain 3
2.80.10.50	
2.90.10.10	Agglutinin, subunit A
2.90.20.10	Plasmodium vivax P25 domain
2.100.10.10	
2.100.10.20	Vitelline membrane outer protein-I (VMO-I)
2.100.10.30	
2.102.10.10	'Rieske'-like iron-sulphur domains
2.102.20.10	beta-galactosidase, domain 2
2.102.30.10	tm1086 (SG structure) domain
2.105.10.10	Pseudo beta propeller
2.110.10.10	Hemopexin
2.115.10.10	Tachylectin-2
2.115.10.20	Glycosyl hydrolase domain; family 43
2.120.10.10	
2.120.10.30	TolB, C-terminal domain
2.120.10.60	Tricorn protease N-terminal domain
2.120.10.70	Fucose-specific lectin
2.120.10.80	Kelch-like ech-associated protein 1
2.120.10.90	GyrA/ParC C-terminal domain-like 
2.130.10.10	YVTN repeat-like/Quinoprotein amine dehydrogenase 
2.130.10.30	Regulator of chromosome condensation RCC1/ beta-lactamase inhibitor protein-II, BLIP-II 
2.130.10.80	Galactose oxidase, central domain
2.130.10.110	Clathrin heavy-chain terminal domain
2.130.10.120	Prolyl oligopeptidase, N-terminal domain 
2.130.10.130	Integrin alpha N-terminal domain, Chain A
2.130.10.150	Peptidase/esterase 'gauge' domain
2.140.10.10	
2.140.10.20	C-terminal (heme d1) domain of cytochrome cd1-nitrite reductase
2.140.10.30	
2.150.10.10	beta-Roll
2.160.10.10	Hexapeptide repeat proteins
2.160.10.20	An insect antifreeze protein
2.160.20.10	Single-stranded right-handed beta-helix, Pectin lyase-like
2.160.20.20	
2.160.20.50	Insect cysteine-rich antifreeze protein
2.160.20.60	
2.160.20.70	
2.160.20.80	E3 ubiquitin-protein ligase SopA 
2.160.30.10	heat- and protease-stable fragment of the bacteriophage t4 short fibre, domain 2
2.170.8.10	Phosphoenolpyruvate Carboxykinase, domain 2
2.170.9.10	Adenovirus Type 2 Hexon, domain 1
2.170.11.10	DNA Topoisomerase I, domain 2
2.170.14.10	Head-binding domain of phage P22 tailspike protein
2.170.15.10	Proaerolysin, chain A, domain 3
2.170.16.10	Hedgehog/intein (Hint) domain
2.170.30.10	Empty Capsid Viral Protein 2
2.170.40.20	HIV Envelope Protein Gp120; Chain G
2.170.120.12	RNA Polymerase Alpha Subunit; Chain A, domain 2
2.170.120.20	Ribosomal protein L25-like. Domain 2
2.170.130.10	Ferric Hydroxamate Uptake Protein; Chain A, domain 1
2.170.130.20	LCCL domain
2.170.140.10	Antimicrobial Protein, Tachycitin; Chain A
2.170.150.10	Metal Binding Protein, Guanine Nucleotide Exchange Factor; Chain A
2.170.150.20	Peptide methionine sulfoxide reductase.
2.170.160.10	Endo-1,4-beta-glucanase f.  Domain 2
2.170.170.11	Malate synthase G - maily-beta sub-domain
2.170.180.11	Methuselah ectodomain, domain 2
2.170.190.11	Molybdopterin biosynthesis moea protein, domain 3.
2.170.200.10	
2.170.210.10	
2.170.220.10	
2.170.230.10	
2.170.240.10	Noncollagenous (NC1) domain of collagen IV
2.170.260.10	paz domain
2.170.270.10	SET domain
2.170.280.10	f41 fragment of flagellin, middle domain
2.170.290.10	baseplate structural protein gp8, domain 2
2.170.300.10	Tie2 ligand-binding domain superfamily
3.10.10.10	HIV Type 1 Reverse Transcriptase, subunit A, domain 1
3.10.20.10	
3.10.20.30	
3.10.20.70	Glutamine synthetase, N-terminal domain
3.10.20.80	Translation initiation factor IF3, N-terminal domain
3.10.20.90	Phosphatidylinositol 3-kinase Catalytic Subunit; Chain A, domain 1
3.10.20.110	
3.10.20.120	
3.10.20.130	
3.10.20.150	
3.10.20.180	
3.10.20.230	Doublecortin (DC)
3.10.20.250	Hypothetical protein Yml108w
3.10.20.260	Ubiquitin activating enzymes (Uba3). Chain: B, domain 3
3.10.20.270	TmoB-like (Pfam 06234). Chain C
3.10.20.280	3d domain-swapped dimer of a hypothetical protein
3.10.20.300	mk0293 like domain
3.10.20.310	membrane protein fhac
3.10.20.320	Putative peptidoglycan bound protein (lpxtg motif)
3.10.25.10	Methionyl-tRNA Fmet Formyltransferase; Chain A, domain 2
3.10.28.10	Homing endonucleases
3.10.28.20	Acetamidase/Formamidase-like domains
3.10.40.10	Pertussis Toxin, subunit B, domain 1
3.10.50.10	
3.10.50.20	Colicin E3 immunity protein
3.10.50.30	
3.10.50.40	
3.10.100.10	Mannose-Binding Protein A, subunit A
3.10.105.10	Dipeptide-binding Protein; Domain 3
3.10.110.10	Ubiquitin Conjugating Enzyme
3.10.120.10	Flavocytochrome B2, subunit A, domain 1
3.10.129.10	
3.10.130.10	P-30 Protein
3.10.150.10	DNA Polymerase III, subunit A, domain 2
3.10.170.10	
3.10.170.20	
3.10.180.10	2,3-Dihydroxybiphenyl 1,2-Dioxygenase, domain 1
3.10.180.20	N-Acetylglucosaminyltransferase I, Domain 2
3.10.180.40	C3-degrading proteinase like domains
3.10.196.10	Cobalamin-dependent Methionine Synthase, domain 1
3.10.200.10	Carbonic Anhydrase II
3.10.250.10	Mac-2 Binding Protein;
3.10.260.10	DNA-binding domain of Mlu1-box binding protein MBP1
3.10.260.20	Putative DNA-binding domain
3.10.270.10	Urate Oxidase;
3.10.280.10	Mitochondrial Matrix Protein Chain A
3.10.290.10	Structural Genomics Hypothetical 15.5 Kd Protein In Mrca-pcka Intergenic Region; Chain
3.10.290.20	Ubiquitin-like 2 activating enzyme e1b. Chain:  B, domain 3
3.10.290.30	MM3350-like
3.10.300.10	3-methyladenine DNA Glycosylase; Chain A
3.10.310.10	Diaminopimelate Epimerase; Chain A, domain 1
3.10.320.10	Class II Histocompatibility Antigen, M Beta Chain; Chain B, domain 1
3.10.330.10	
3.10.330.20	
3.10.340.11	Methenyltetrahydromethanopterin Cyclohydrolase; Chain A, domain 1
3.10.350.10	Membrane-bound Lytic Murein Transglycosylase D; Chain A
3.10.360.10	Antimicrobial Peptide, Beta-defensin 2; Chain A
3.10.380.10	Ribonuclease domain of colicin E3
3.10.390.10	SAND domain-like
3.10.400.10	Sulfate adenylyltransferase
3.10.410.10	Formyltetrahydrofolate synthetase, domain 3
3.10.420.10	SecB-like
3.10.430.100	
3.10.440.10	
3.10.450.10	
3.10.450.20	Uracil-DNA glycosylase inhibitor protein
3.10.450.30	Microbial ribonucleases
3.10.450.40	
3.10.450.50	
3.10.450.60	
3.10.450.70	
3.10.450.80	
3.10.450.90	
3.10.450.100	NTF2-like; domain 1
3.10.450.120	Pre-PUA domain; domain 1
3.10.450.130	folded 79 residue fragment of lin0334 like domains
3.10.450.140	Putative dsDNA mimic
3.10.450.150	enterococcus faecalis protein
3.10.450.160	inner membrane protein cigr
3.10.450.170	type vi secretion system effector-immunity co pseudomonas protegens
3.10.460.10	VSV matrix protein
3.10.470.10	chromosomal protein mc1
3.10.490.10	Hypothetical upf0131 protein ytfp
3.10.500.10	prostaphopain b, domain 1
3.10.510.10	NE1680-like
3.10.520.10	ApbE-like domains
3.10.530.10	CPE0013-like
3.10.540.10	duf1285 like domain
3.10.550.10	Hypothetical protein Atu2299
3.10.560.10	Outer membrane lipoprotein wza domain like
3.10.570.10	sex pheromone staph- cam373 precursor domain
3.10.580.10	CBS-domain
3.10.590.10	ph1033 like domains
3.10.600.10	pyruvate carboxylase f1077a mutant domain
3.10.610.10	GSPII I/J protein-like
3.10.620.10	C8orf32 like domain
3.10.630.10	dip2346 domain like
3.10.640.10	Restriction endonuclease-like alpha-beta roll domain
3.10.650.10	MalF N-terminal region-like 
3.10.660.10	Microbial ribonucleases
3.10.670.10	Secreted effector protein ssei.
3.15.10.10	Bactericidal permeability-increasing protein; domain 1
3.15.20.10	Bactericidal permeability-increasing protein; domain 2
3.15.30.10	putative capsid protein of prophage domain like
3.20.10.10	D-amino Acid Aminotransferase, subunit A, domain 2
3.20.14.10	L-fucose Isomerase; Chain A, domain 3
3.20.16.10	Herpes virus serine proteinase, assemblin
3.20.19.10	Aconitase, domain 4
3.20.20.10	Alanine racemase
3.20.20.20	Dihydropteroate (DHP) synthetase
3.20.20.30	FMN dependent fluorescent proteins
3.20.20.40	Glycosyl hydrolases family 6, cellulases
3.20.20.60	Phosphoenolpyruvate-binding domains
3.20.20.70	Aldolase class I
3.20.20.80	Glycosidases
3.20.20.100	NADP-dependent oxidoreductase
3.20.20.105	tRNA-guanine (tRNA-G) transglycosylase
3.20.20.110	Rubisco
3.20.20.120	Enolase superfamily
3.20.20.140	Metal-dependent hydrolases
3.20.20.150	Divalent-metal-dependent TIM barrel enzymes
3.20.20.190	Phosphatidylinositol (PI) phosphodiesterase
3.20.20.210	
3.20.20.220	
3.20.20.240	
3.20.20.300	
3.20.20.330	Homocysteine S-methyltransferase
3.20.20.350	
3.20.20.360	Malate synthase, domain 3
3.20.20.370	Glycoside hydrolase/deacetylase
3.20.20.380	CutC-like
3.20.20.390	FMN-linked oxidoreductases
3.20.20.400	GlpP-like
3.20.20.410	Hypothetical protein tm1631.
3.20.20.440	D-lysine 5,6-aminomutase alpha subunit. Chain A
3.20.20.450	EAL domain-like
3.20.20.460	Monomethylamine methyltransferase MtmB
3.20.20.470	Glucansucrase
3.20.70.20	
3.20.80.10	Multidrug-efflux Transporter 1 Regulator Bmrr; Chain
3.20.90.10	Tubby Protein; Chain A
3.20.100.10	mRNA Triphosphatase Cet1; Chain A
3.20.110.10	Glycoside hydrolase 38, N terminal domain
3.20.120.10	hfbii hydrophobin
3.20.130.10	fumarase
3.20.140.10	nicotinate phosphoribosyltransferase
3.20.160.10	vpa0580 domain like
3.20.170.10	ADP-ribosylation domain
3.20.180.10	PNP-oxidase like
3.20.190.10	N-terminal domain of MutM-like DNA repair proteins
3.20.200.10	MHCK/EF2 kinase
3.30.9.10	D-Amino Acid Oxidase, subunit A, domain 2
3.30.10.10	Trypsin Inhibitor V, subunit A
3.30.20.10	Endochitinase, domain 2
3.30.30.10	
3.30.30.30	
3.30.30.40	
3.30.30.50	Translation initiation factor 2 beta, aIF2beta, N-terminal domain
3.30.30.60	D-lysine 5,6-aminomutase beta subunit KamE, N-terminal domain
3.30.30.70	Scorpion toxin-like
3.30.30.80	probable RNA-binding protein from clostridium symbiosum atcc 14940
3.30.40.10	Zinc/RING finger domain, C3HC4 (zinc finger)
3.30.40.20	Chymotrypsin-like serine protease; domain 3
3.30.40.30	YqaI-like
3.30.43.10	Uridine Diphospho-n-acetylenolpyruvylglucosamine Reductase, domain 2
3.30.44.10	Smk Toxin, beta chain
3.30.46.10	Glycine N-methyltransferase, chain A, domain 1
3.30.50.10	Erythroid Transcription Factor GATA-1, subunit A
3.30.50.20	prophage-derive protein ybcO
3.30.54.10	
3.30.54.20	
3.30.56.10	
3.30.56.30	SRP19
3.30.56.50	Putative DNA-binding domain, N-terminal subdomain of bacterial translation initiation factor IF2
3.30.56.60	XkdW-like
3.30.60.10	
3.30.60.20	
3.30.60.30	
3.30.60.50	Hypothetical oxidoreductase yiak; domain 3
3.30.60.60	N-acetyl transferase-like
3.30.60.70	Trimeric LpxA-like enzymes
3.30.62.10	Nef Regulatory Factor
3.30.63.10	Guanylate Kinase phosphate binding domain
3.30.65.10	Bacterial Topoisomerase I, domain 1
3.30.66.10	DNA topoisomerase I domain
3.30.67.10	Viral Envelope Glycoprotein, domain 2
3.30.70.20	
3.30.70.60	
3.30.70.80	
3.30.70.100	
3.30.70.120	
3.30.70.140	Aspartate carbamoyltransferase, Regulatory-chain, N-terminal domain
3.30.70.141	
3.30.70.150	
3.30.70.240	
3.30.70.250	
3.30.70.260	
3.30.70.270	
3.30.70.330	
3.30.70.340	
3.30.70.360	
3.30.70.370	
3.30.70.380	
3.30.70.390	
3.30.70.400	CheY-binding domain of CheA
3.30.70.420	
3.30.70.440	Killer toxin KP6 alpha-subunit
3.30.70.470	
3.30.70.520	
3.30.70.560	
3.30.70.580	
3.30.70.590	
3.30.70.600	
3.30.70.610	
3.30.70.640	
3.30.70.650	Translational regulator protein regA
3.30.70.660	
3.30.70.670	
3.30.70.680	TRADD, N-terminal domain
3.30.70.790	Urease metallochaperone UreE, C-terminal domain
3.30.70.850	
3.30.70.860	
3.30.70.870	Elongation Factor G (Translational Gtpase), domain 3
3.30.70.890	
3.30.70.920	
3.30.70.930	
3.30.70.940	N-utilization substance G protein NusG, N-terminal domain
3.30.70.960	SEA domain
3.30.70.970	Hypothetical protein VC0424
3.30.70.980	
3.30.70.990	YajQ-like, domain 2
3.30.70.1000	rly switch protein xol-1 2.2k splice form; domain 1
3.30.70.1010	eEF1-gamma domain
3.30.70.1020	Trehalose-6-phosphate phosphatase related protein; domain 2
3.30.70.1030	Apc35880; domain 1
3.30.70.1040	Dystroglycan, domain 2
3.30.70.1050	Trigger factor ribosome-binding domain
3.30.70.1060	Dimeric alpha+beta barrel
3.30.70.1070	Sporulation related repeat
3.30.70.1090	Dimeric alpha+beta barrel.
3.30.70.1100	Apc35880; domain 2
3.30.70.1110	CheY-binding domain of CheA. Chain A
3.30.70.1120	Hypothetical protein TT1725
3.30.70.1130	EIF_2_alpha
3.30.70.1140	Phospho-2-dehydro-3-deoxyheptonate aldolase; domain 1
3.30.70.1150	ACT-like. Chain A, domain 2
3.30.70.1170	Sun protein; domain 3
3.30.70.1180	Vacuolar atp synthase subunit c; domain 1
3.30.70.1200	Crispr-associated protein; domain 1
3.30.70.1210	Crispr-associated protein; domain 2
3.30.70.1220	General transcription factor iih, polypeptide 5.
3.30.70.1230	Adenylyl Cyclase, chain A
3.30.70.1240	DOPA-like domains
3.30.70.1250	Phosphopentomutase
3.30.70.1260	bacterial protein sp0830 like
3.30.70.1270	Api92-like domains
3.30.70.1280	SP0830-like domains
3.30.70.1290	Transposase IS200-like
3.30.70.1300	VC0467-like domains
3.30.70.1320	Multidrug efflux transporter AcrB pore domain like
3.30.70.1340	MTH889-like domain
